INFO 2020-09-03 22:57:05,257 autoreload 597 Watching for file changes with StatReloader
INFO 2020-09-03 22:57:39,424 autoreload 597 Watching for file changes with StatReloader
INFO 2020-10-03 14:18:20,284 autoreload 597 Watching for file changes with StatReloader
INFO 2020-10-12 12:49:24,034 autoreload 597 Watching for file changes with StatReloader
INFO 2020-10-12 12:50:36,100 autoreload 597 Watching for file changes with StatReloader
INFO 2020-10-12 12:51:23,577 autoreload 597 Watching for file changes with StatReloader
INFO 2020-10-12 12:51:28,130 basehttp 154 "GET / HTTP/1.1" 200 5087
INFO 2020-10-12 12:51:28,232 basehttp 154 "GET /static/fonts/Linearicons-Free-v1.0.0/icon-font.min.css HTTP/1.1" 200 7354
INFO 2020-10-12 12:51:28,232 basehttp 154 "GET /static/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 32422
INFO 2020-10-12 12:51:28,233 basehttp 154 "GET /static/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 124962
INFO 2020-10-12 12:51:28,234 basehttp 154 "GET /static/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 200 19686
INFO 2020-10-12 12:51:28,234 basehttp 154 "GET /static/vendor/animate/animate.css HTTP/1.1" 200 23848
INFO 2020-10-12 12:51:28,235 basehttp 154 "GET /static/vendor/animsition/css/animsition.min.css HTTP/1.1" 200 27478
INFO 2020-10-12 12:51:28,272 basehttp 154 "GET /static/vendor/select2/select2.min.css HTTP/1.1" 200 15196
INFO 2020-10-12 12:51:28,274 basehttp 154 "GET /static/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 200 8163
INFO 2020-10-12 12:51:28,283 basehttp 154 "GET /static/css/main.css HTTP/1.1" 200 8083
INFO 2020-10-12 12:51:28,284 basehttp 154 "GET /static/css/util.css HTTP/1.1" 200 86814
INFO 2020-10-12 12:51:28,306 basehttp 154 "GET /static/vendor/animsition/js/animsition.min.js HTTP/1.1" 200 5615
INFO 2020-10-12 12:51:28,322 basehttp 154 "GET /static/vendor/jquery/jquery-3.2.1.min.js HTTP/1.1" 200 134855
INFO 2020-10-12 12:51:28,342 basehttp 154 "GET /static/vendor/select2/select2.min.js HTTP/1.1" 200 66665
INFO 2020-10-12 12:51:28,344 basehttp 154 "GET /static/vendor/bootstrap/js/popper.js HTTP/1.1" 200 81680
INFO 2020-10-12 12:51:28,361 basehttp 154 "GET /static/vendor/daterangepicker/moment.min.js HTTP/1.1" 200 46645
INFO 2020-10-12 12:51:28,371 basehttp 154 "GET /static/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51143
INFO 2020-10-12 12:51:28,373 basehttp 154 "GET /static/vendor/daterangepicker/daterangepicker.js HTTP/1.1" 200 69856
INFO 2020-10-12 12:51:28,423 basehttp 154 "GET /static/vendor/countdowntime/countdowntime.js HTTP/1.1" 200 1340
INFO 2020-10-12 12:51:28,438 basehttp 154 "GET /static/js/main.js HTTP/1.1" 200 1420
INFO 2020-10-12 12:51:28,607 basehttp 154 "GET /static/fonts/OpenSans/OpenSans-Regular.ttf HTTP/1.1" 200 217276
INFO 2020-10-12 12:51:28,705 basehttp 154 "GET /static/images/icons/favicon.ico HTTP/1.1" 200 32038
INFO 2020-10-12 12:51:30,610 basehttp 154 "GET /register HTTP/1.1" 301 0
INFO 2020-10-12 12:51:30,627 basehttp 154 "GET /register/ HTTP/1.1" 200 5469
INFO 2020-10-12 12:51:32,015 basehttp 154 "GET / HTTP/1.1" 200 5087
INFO 2020-10-12 12:51:35,053 basehttp 154 "POST / HTTP/1.1" 200 5253
INFO 2020-10-12 12:51:38,690 basehttp 154 "POST / HTTP/1.1" 302 0
INFO 2020-10-12 12:51:43,208 basehttp 154 "GET /booking/ HTTP/1.1" 200 23418
INFO 2020-10-12 12:51:43,334 basehttp 154 "GET /static/plugins/fullcalendar-timegrid/main.min.css HTTP/1.1" 200 3377
INFO 2020-10-12 12:51:43,334 basehttp 154 "GET /static/plugins/fullcalendar/main.min.css HTTP/1.1" 200 14357
INFO 2020-10-12 12:51:43,336 basehttp 154 "GET /static/plugins/fullcalendar-daygrid/main.min.css HTTP/1.1" 200 1004
INFO 2020-10-12 12:51:43,337 basehttp 154 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58578
INFO 2020-10-12 12:51:43,343 basehttp 154 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 689674
INFO 2020-10-12 12:51:43,348 basehttp 154 "GET /static/plugins/fullcalendar-bootstrap/main.min.css HTTP/1.1" 200 416
INFO 2020-10-12 12:51:43,405 basehttp 154 "GET /static/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 200 12505
INFO 2020-10-12 12:51:43,417 basehttp 154 "GET /static/plugins/select2/css/select2.min.css HTTP/1.1" 200 14966
INFO 2020-10-12 12:51:43,427 basehttp 154 "GET /static/plugins/select2-bootstrap4-theme/select2-bootstrap4.min.css HTTP/1.1" 200 5158
INFO 2020-10-12 12:51:43,429 basehttp 154 "GET /static/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 200 9071
INFO 2020-10-12 12:51:43,473 basehttp 154 "GET /static/plugins/daterangepicker/daterangepicker.css HTTP/1.1" 200 8069
INFO 2020-10-12 12:51:43,499 basehttp 154 "GET /static/plugins/datatables-bs4/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 5222
INFO 2020-10-12 12:51:43,501 basehttp 154 "GET /static/plugins/bootstrap4-duallistbox/bootstrap-duallistbox.min.css HTTP/1.1" 200 1552
INFO 2020-10-12 12:51:43,501 basehttp 154 "GET /static/plugins/datatables-responsive/css/responsive.bootstrap4.min.css HTTP/1.1" 200 3993
INFO 2020-10-12 12:51:43,579 basehttp 154 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88145
INFO 2020-10-12 12:51:43,582 basehttp 154 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80698
INFO 2020-10-12 12:51:43,705 basehttp 154 "GET /static/plugins/bs-custom-file-input/bs-custom-file-input.min.js HTTP/1.1" 200 2338
INFO 2020-10-12 12:51:43,741 basehttp 154 "GET /static/dist/js/demo.js HTTP/1.1" 200 12616
INFO 2020-10-12 12:51:43,742 basehttp 154 "GET /static/dist/js/adminlte.min.js HTTP/1.1" 200 25193
INFO 2020-10-12 12:51:43,747 basehttp 154 "GET /static/plugins/moment/moment.min.js HTTP/1.1" 200 75949
INFO 2020-10-12 12:51:43,761 basehttp 154 "GET /static/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 253669
INFO 2020-10-12 12:51:43,776 basehttp 154 "GET /static/plugins/fullcalendar/main.min.js HTTP/1.1" 200 127158
INFO 2020-10-12 12:51:43,794 basehttp 154 "GET /static/plugins/fullcalendar-daygrid/main.min.js HTTP/1.1" 200 28202
INFO 2020-10-12 12:51:43,834 basehttp 154 "GET /static/plugins/fullcalendar-bootstrap/main.min.js HTTP/1.1" 200 1648
INFO 2020-10-12 12:51:43,846 basehttp 154 "GET /static/plugins/fullcalendar-timegrid/main.min.js HTTP/1.1" 200 25154
INFO 2020-10-12 12:51:43,847 basehttp 154 "GET /static/plugins/fullcalendar-interaction/main.min.js HTTP/1.1" 200 36198
INFO 2020-10-12 12:51:43,885 basehttp 154 "GET /static/plugins/daterangepicker/daterangepicker.js HTTP/1.1" 200 67268
INFO 2020-10-12 12:51:43,906 basehttp 154 "GET /static/plugins/inputmask/min/jquery.inputmask.bundle.min.js HTTP/1.1" 200 118400
INFO 2020-10-12 12:51:43,917 basehttp 154 "GET /static/plugins/bootstrap4-duallistbox/jquery.bootstrap-duallistbox.min.js HTTP/1.1" 200 16850
INFO 2020-10-12 12:51:43,923 basehttp 154 "GET /static/plugins/select2/js/select2.full.min.js HTTP/1.1" 200 79172
INFO 2020-10-12 12:51:43,948 basehttp 154 "GET /static/plugins/bootstrap-colorpicker/js/bootstrap-colorpicker.min.js HTTP/1.1" 200 97134
INFO 2020-10-12 12:51:43,983 basehttp 154 "GET /static/plugins/tempusdominus-bootstrap-4/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 200 56879
INFO 2020-10-12 12:51:44,012 basehttp 154 "GET /static/plugins/bootstrap-switch/js/bootstrap-switch.min.js HTTP/1.1" 200 14920
